,full_pathname,filename,recanvo_id,function,mean_valence,mean_arousal,duration,mean_pitch,min_pitch,max_pitch,stdev_pitch,mean_intensity,spectral_cog,spectral_sd,amp_rms,sd_intensity
167,/Users/simonrdkn/Dropbox (MIT)/commalla survey audio/p02/p02 self talk survey/200130_1451_00-26-31.25--00-26-32.5.wav,200130_1451_00-26-31.25--00-26-32.5.wav,p02,selftalk,2.2962962962963,3.5,1.249002267573696,239.16558994081143,80.25390298129255,524.0033498084861,133.11054044545827,81.7155722748058,531.7303696473675,200.32340964679003,0.2340285084681213,8.862335537803395
168,/Users/simonrdkn/Dropbox (MIT)/commalla survey audio/p02/p02 self talk survey/200110_1709_00-06-48.22--00-06-48.67.wav,200110_1709_00-06-48.22--00-06-48.67.wav,p02,selftalk,3.0462962962963,2.27777777777778,0.4480045351473923,243.55438869663416,171.9099480334903,287.83958717996376,43.15759931019359,72.61003691423679,547.2034530023786,324.46535974796444,0.07549816483389801,15.21930019398281
169,/Users/simonrdkn/Dropbox (MIT)/commalla survey audio/p02/p02 delighted survey/200123_1311_00-04-29.72--00-04-30.63.wav,200123_1311_00-04-29.72--00-04-30.63.wav,p02,delighted,2.92592592592593,2.26851851851852,0.9109977324263039,242.2036111505728,95.37830756160545,412.57117931015387,69.77287831344448,75.34222667639253,296.10355506850453,141.83006948690135,0.1104925567982619,12.364786332896283
170,/Users/simonrdkn/Dropbox (MIT)/commalla survey audio/p02/p02 delighted survey/200123_1311_00-04-26.73--00-04-27.32.wav,200123_1311_00-04-26.73--00-04-27.32.wav,p02,delighted,2.87962962962963,2.48148148148148,0.5870068027210884,252.76790923949247,135.37595338148185,297.2214029180607,52.81745035575171,79.26072232936433,301.2811036407012,167.81861916456327,0.1674026407499038,12.75076189548221
171,/Users/simonrdkn/Dropbox (MIT)/commalla survey audio/p02/p02 delighted survey/200116_1214_00-48-32.62--00-48-33.1.wav,200116_1214_00-48-32.62--00-48-33.1.wav,p02,delighted,3.08333333333333,3.17592592592593,0.47399092970521545,344.7580021138926,198.0558454967344,407.6319982463034,76.12211885416603,76.43536035894907,790.9118324179195,220.38351814569816,0.1184259443418856,11.951018075507035
172,/Users/simonrdkn/Dropbox (MIT)/commalla survey audio/p02/p02 delighted survey/200202_1112_00-03-18.73--00-03-19.3.wav,200202_1112_00-03-18.73--00-03-19.3.wav,p02,delighted,3.01851851851852,2.89814814814815,0.5750113378684807,207.5225714804556,102.6242809671761,278.74876433086496,71.54218628105771,79.59364672782436,674.4236271219035,269.6814549297993,0.17627226520373268,8.036069517981371
173,/Users/simonrdkn/Dropbox (MIT)/commalla survey audio/p02/p02 delighted survey/200123_1311_00-00-20.0--00-00-20.48.wav,200123_1311_00-00-20.0--00-00-20.48.wav,p02,delighted,2.94444444444444,2.27777777777778,0.483015873015873,217.08956061931042,193.6075963013705,255.9626127499786,21.91391522847598,76.85261987393406,482.53798760127756,139.641522057987,0.1250437845778426,11.62593472885304
174,/Users/simonrdkn/Dropbox (MIT)/commalla survey audio/p02/p02 delighted survey/200130_1451_00-04-17.41--00-04-17.84.wav,200130_1451_00-04-17.41--00-04-17.84.wav,p02,delighted,2.91666666666667,2.31481481481481,0.42498866213151926,198.93743938340555,151.9382877484968,257.50315725900475,37.621548036492335,74.77309807572706,531.2201477117676,231.45047742861902,0.09588994362005626,10.702715370378975
175,/Users/simonrdkn/Dropbox (MIT)/commalla survey audio/p02/p02 delighted survey/200121_2034_00-01-08.00--00-01-08.74c.wav,200121_2034_00-01-08.00--00-01-08.74c.wav,p02,delighted,2.98148148148148,2.5,0.6314965986394557,215.5901841421288,95.21185570671051,325.2798215143969,57.700499012808116,76.98432550311065,427.3080783587402,277.8178720705847,0.13072983291048654,5.859175448430758
176,/Users/simonrdkn/Dropbox (MIT)/commalla survey audio/p02/p02 delighted survey/200123_1311_00-00-16.61--00-00-17.2.wav,200123_1311_00-00-16.61--00-00-17.2.wav,p02,delighted,3.12962962962963,2.39814814814815,0.5859863945578231,238.99889893116196,178.01249048553336,300.8320898001123,43.81381283698417,75.27835228179609,327.6677593609914,220.80940893160184,0.10595227471768114,11.295475604281963
