,full_pathname,filename,recanvo_id,function,mean_valence,mean_arousal,duration,mean_pitch,pitch_range,min_pitch,max_pitch,stdev_pitch,mean_intensity,intensity_range,min_intensity,max_intensity,formant1_mean,formant2_mean,formant3_mean,formant1_stdev,formant2_stdev,formant3_stdev,local_jitter,local_abs_jitter,rap_jitter,ppq5_jitter,ddp_jitter,local_shimmer,local_db_shimer,apq3_shimmer,apq5_shimmer,apq11_shimmer,dda_shimmer,hnr
114,/Users/mayaradhakrishnan/Dropbox (MIT)/commalla survey audio/p11/p11 self talk survey/210130_2120_00-01-48.97--00-01-49.52.wav,210130_2120_00-01-48.97--00-01-49.52.wav,p11,selftalk,2.907407407,2.574074074,0.550997732,388.23111,55.32750446,357.2885018,412.6160063,24.45484899,73.80135416,36.72619118,45.27974521,82.00593638,892.654357,1651.635088,2925.449164,300.7568392,277.6579194,213.9353588,0.027041173,7.10E-05,0.012047537,0.010097751,0.036142612,0.111511589,1.178756814,0.032441834,0.042687663,0.211368267,0.097325503,2.815805144
115,/Users/mayaradhakrishnan/Dropbox (MIT)/commalla survey audio/p11/p11 self talk survey/210303_1741_00-00-41.07--00-00-41.91.wav,210303_1741_00-00-41.07--00-00-41.91.wav,p11,selftalk,2.509259259,3.101851852,0.845011338,371.6558152,286.4494405,122.5942523,409.0436928,54.76746606,78.65085987,37.20324807,45.71579419,82.91904226,644.3705887,1913.606167,2704.017482,180.2530521,306.7744833,349.1870722,0.047008433,0.000123847,0.025447044,0.030935306,0.076341131,0.113036516,1.0850253,0.062296691,0.075873695,0.090518874,0.186890073,11.20421276
116,/Users/mayaradhakrishnan/Dropbox (MIT)/commalla survey audio/p11/p11 frustrated survey/210108_1752_00-05-14.07--00-05-17.66.wav,210108_1752_00-05-14.07--00-05-17.66.wav,p11,frustrated,2.564814815,3.601851852,3.59600907,386.7988556,386.4104266,216.0573682,602.4677948,60.15435557,81.06737967,37.0203488,47.91415656,84.93450536,909.222762,1562.307399,2511.184675,197.3330683,304.5347689,443.7473649,0.013578719,3.52E-05,0.006029563,0.007676132,0.01808869,0.070608181,0.698532322,0.03416624,0.043554476,0.052730075,0.102498719,18.13793089
117,/Users/mayaradhakrishnan/Dropbox (MIT)/commalla survey audio/p11/p11 frustrated survey/201119_1659_00-05-22.05--00-05-22.7.wav,201119_1659_00-05-22.05--00-05-22.7.wav,p11,frustrated,2.888888889,2.037037037,0.653015873,298.3175084,167.9996628,164.4259349,332.4255977,52.39803603,75.06635196,33.79393362,47.31279043,81.10672404,683.1876786,1842.755521,2827.298059,322.5730036,315.4286869,202.5900679,0.012093055,4.03E-05,0.005905359,0.007001645,0.017716076,0.052387197,0.827103234,0.018345539,0.024945739,0.040674572,0.055036618,16.82929126
118,/Users/mayaradhakrishnan/Dropbox (MIT)/commalla survey audio/p11/p11 frustrated survey/201210_1801_00-06-20.88--00-06-25.66.wav,201210_1801_00-06-20.88--00-06-25.66.wav,p11,frustrated,1.740740741,4.083333333,4.778004535,450.4384248,315.2075645,248.9049345,564.112499,53.69439921,81.16260633,38.15658073,46.7136852,84.87026593,934.0932293,1685.798204,2629.599337,162.3395627,191.1915256,368.7321037,0.011735995,2.60E-05,0.006167748,0.006444165,0.018503244,0.047299791,0.493788371,0.022575126,0.030620222,0.041065254,0.067725378,19.76392411
119,/Users/mayaradhakrishnan/Dropbox (MIT)/commalla survey audio/p11/p11 frustrated survey/210301_1943_00-00-18.36--00-00-21.93.wav,210301_1943_00-00-18.36--00-00-21.93.wav,p11,frustrated,3.759259259,3.564814815,3.574013605,340.2055072,247.634035,226.9812346,474.6152696,48.23828027,79.88125628,41.46940027,43.34567812,84.81507839,744.3597697,1498.531883,2422.646297,265.2043891,160.6997354,255.0259554,0.013943566,4.10E-05,0.007270698,0.007765726,0.021812095,0.07274006,0.745131458,0.03298847,0.043848807,0.060100201,0.09896541,13.03361869
120,/Users/mayaradhakrishnan/Dropbox (MIT)/commalla survey audio/p11/p11 frustrated survey/201118_2130_00-04-05.63--00-04-09.40c.wav,201118_2130_00-04-05.63--00-04-09.40c.wav,p11,frustrated,2.12962963,3.537037037,3.760929705,418.4601779,384.0995891,153.3267317,537.4263207,46.76018937,78.56627567,40.71292536,40.74453568,81.45746105,971.1956698,1492.699851,2470.219149,162.3796805,264.3542006,278.060187,0.00809552,1.94E-05,0.004526712,0.004776306,0.013580135,0.058969421,0.550178967,0.032628598,0.034594455,0.035925533,0.097885793,19.65322538
121,/Users/mayaradhakrishnan/Dropbox (MIT)/commalla survey audio/p11/p11 frustrated survey/201118_2130_00-00-33.0--00-00-33.7.wav,201118_2130_00-00-33.0--00-00-33.7.wav,p11,frustrated,2.694444444,2.527777778,0.703015873,427.4143899,250.6582228,256.7642701,507.4224929,75.52889109,74.26249889,39.3819987,44.0203685,83.4023672,990.7733627,1796.080145,2759.614885,222.3397247,310.024718,460.7064235,0.01516421,3.51E-05,0.006479284,0.008550114,0.019437852,0.106057207,1.005568829,0.049578649,0.068365046,0.099078286,0.148735946,6.492513026
122,/Users/mayaradhakrishnan/Dropbox (MIT)/commalla survey audio/p11/p11 frustrated survey/201119_1659_00-04-10.29--00-04-11.2.wav,201119_1659_00-04-10.29--00-04-11.2.wav,p11,frustrated,2.907407407,1.861111111,0.91,236.1780115,102.358409,205.8271718,308.1855809,28.98444277,62.798701,25.01399883,41.66808148,66.68208031,633.6838746,1716.839314,2712.066498,344.2466306,365.8266709,529.7971129,0.014871559,6.30E-05,0.00837522,0.010723319,0.025125659,0.097022883,0.969778785,0.041446295,0.060968382,0.087794252,0.124338885,11.04588238
123,/Users/mayaradhakrishnan/Dropbox (MIT)/commalla survey audio/p11/p11 frustrated survey/201210_1801_00-04-46.0--00-04-48.89.wav,201210_1801_00-04-46.0--00-04-48.89.wav,p11,frustrated,,,2.89,395.1388944,223.1931962,270.2843659,493.4775621,38.05907725,81.88670615,42.6171456,42.66396481,85.28111041,947.1163806,1813.227078,2530.56217,247.6523551,250.9117028,371.5366368,0.005529004,1.40E-05,0.002799946,0.003368617,0.008399838,0.033529581,0.307870728,0.016866398,0.020619463,0.031121601,0.050599193,22.10981472
